name,ring,quadrant,isNew,description
Webpack,adopt,tools,FALSE,"Generic, eats it all web asset bundler"
Rollup,adopt,tools,FALSE,"Efficient web asset bundler"
Browserify,hold,tools,FALSE,"CommonJS module bundler"
ESLint,adopt,tools,FALSE,"JavaScript linter"
Mocha,adopt,tools,FALSE,"JavaScript test framework"
Codecov,adopt,tools,FALSE,"Code coverage reporting, integrated into our development flow"
Travis CI,adopt,tools,FALSE,"Cloud CI, tightly integrated into GitHub"
JavaScript,adopt,languages & frameworks,FALSE,"The language of the web"
TypeScript,assess,languages & frameworks,FALSE,"The language of the web, typed"
Community Worker,adopt,techniques & activities,FALSE,"..."
Inbox Grooming,adopt,techniques & activities,FALSE,"..."
Spring Cleaning,adopt,techniques & activities,FALSE,"..."
